,path,value,color
192,root/P Glut/PSV Pvalb Lhx2 Glut,1,#3A662E
193,root/P Glut/PB-NTS Phox2b Ebf3 Lmx1b Glut,1,#AB5CCC
194,root/P Glut/PRNr Otp Nfib Glut,1,#3ECC1F
195,root/P Glut/IPN-LDT Vsx2 Nkx6-1 Glut,1,#994546
196,root/P Glut/LDT Vsx2 Nkx6-1 Nfib Glut,1,#45994B
197,root/P Glut/NLL-SOC Spp1 Glut,1,#CCFF4D
198,root/P Glut/PG-TRN-LRN Fat2 Glut,1,#9B7ACC
199,root/MY Glut/IRN Vip Glut,1,#66593D
200,root/MY Glut/PRP-NI-PRNc-GRN Otp Glut,1,#FF6426
201,root/MY Glut/NTS Phox2b Glut,1,#7ACC9F
202,root/MY Glut/MARN-GRN Pyy Glut,1,#458499
203,root/MY Glut/MDRNv Lhx4 Qrfprl Glut,1,#c10717
204,root/MY Glut/NTS Mbnl3 Glut,1,#e925ed
205,root/MY Glut/PGRNd Dmbx1 Glut,1,#996E45
206,root/MY Glut/PGRN-PARN-MDRN Hoxb5 Glut,1,#C6FF99
207,root/MY Glut/MV-SPIV Slc6a2 Glut,1,#99985C
208,root/MY Glut/SPVI-SPVC Tlx3 Ebf3 Glut,1,#84CC3D
209,root/MY Glut/CU-ECU-SPVI Foxb1 Glut,1,#5A1F66
210,root/MY Glut/MV-SPIV Phox2b Ebf3 Lbx1 Glut,1,#3DC2CC
211,root/MY Glut/MV-SPIV Zic4 Neurod2 Glut,1,#85CC00
212,root/MY Glut/NTS Aldh1a2 Glut,1,#f22693
213,root/MY Glut/CBN Neurod2 Pvalb Glut,1,#26FF93
214,root/MY Glut/NTS Dbh Glut,1,#221F66
215,root/MY Glut/DMX VII Tbx20 Chol,1,#566600
216,root/MY Glut/IO Fgl2 Glut,1,#99322E
217,root/MY Glut/VCO Mafa Meis2 Glut,1,#00CC7C
218,root/MY Glut/SPVO Mafa Meis2 Glut,1,#CC8E1F
219,root/MY Glut/SPVC Mafa Glut,1,#805CCC
220,root/MY Glut/SPVC Ccdc172 Glut,1,#580099
221,root/MY Glut/SPVC Nmu Glut,1,#99805C
222,root/MY Glut/MDRNd Bves Glut,1,#fc235d
223,root/MY Glut/MDRNv Crp Glut,1,#1FCC43
224,root/MY Glut/HB Calcb Chol,1,#EAFF4D
225,root/Pineal Glut/Pineal Crx Glut,1,#0F6654
226,root/P GABA/CS-RPO Meis2 Gaba,1,#B6CC5C
227,root/P GABA/PRNc Otp Gly-Gaba,1,#4DFFCD
228,root/P GABA/PB Sst Gly-Gaba,1,#F44D00
229,root/P GABA/PRNc Prox1 Brs3 Gly-Gaba,1,#58992E
230,root/P GABA/CS-PRNr-DR En1 Sox2 Gaba,1,#1F5366
231,root/P GABA/LDT Fgf7 Gaba,1,#00CCBA
232,root/P GABA/NI-RPO Gata3 Nr4a2 Gaba,1,#00CC4A
233,root/P GABA/LDT-PCG-CS Gata3 Lhx1 Gaba,1,#630099
234,root/P GABA/PDTg-PCG Pax6 Gaba,1,#991761
235,root/P GABA/PDTg Otp Shroom3 Gaba,1,#5BFF00
236,root/P GABA/PDTg Otp Olig3 Gaba,1,#0F1266
237,root/P GABA/LDT-PCG St18 Gaba,1,#456499
238,root/P GABA/DTN-LDT-IPN Otp Pax3 Gaba,1,#1F3766
239,root/P GABA/NLL Gata3 Gly-Gaba,1,#E57300
240,root/P GABA/PSV Pax2 Gly-Gaba,1,#d2b8f2
241,root/P GABA/NLL-po Pax7 Gaba,1,#000999
242,root/P GABA/POR Gata3 Gly-Gaba,1,#00CC1B
243,root/P GABA/POR Spp1 Gly-Gaba,1,#35CC00
244,root/MY GABA/PRP Otp Gly-Gaba,1,#995C2E
245,root/MY GABA/GRN-IRN-MDRNd Ikzf1 Gly-Gaba,1,#659900
246,root/MY GABA/MY Lhx1 Gly-Gaba,1,#f20985
247,root/MY GABA/PPY-PGRNl Vip Glyc-Gaba,1,#CC5C81
248,root/MY GABA/MV-SPIV-PRP Dmbx1 Gly-Gaba,1,#4DBEFF
249,root/MY GABA/MDRN Hoxb5 Ebf2 Gly-Gaba,1,#660038
250,root/MY GABA/MDRNd Prox1 Pax6 Gly-Gaba,1,#4e5b48
251,root/MY GABA/MY Prox1 Lmo7 Gly-Gaba,1,#6ff754
252,root/MY GABA/NTS-MDRNd Prox1 Zic1 Gly-Gaba,1,#990004
253,root/MY GABA/MV Nkx6-1 Gly-Gaba,1,#CC3D91
254,root/MY GABA/PAS-MV Ebf2 Gly-Gaba,1,#2E3399
255,root/MY GABA/MV Pax6 Gly-Gaba,1,#66502E
256,root/MY GABA/CBN Dmbx1 Gaba,1,#00FF6C
257,root/MY GABA/RPA Pax6 Hoxb5 Gly-Gaba,1,#3426FF
258,root/MY GABA/CU-ECU Pax2 Gly-Gaba,1,#2E6799
259,root/MY GABA/PRP Gata3 Slc6a5 Gly-Gaba,1,#00FF08
260,root/MY GABA/MARN-PPY Ngfr Gly-Gaba,1,#CC8A5C
261,root/MY GABA/PARN-MDRNd-NTS Gbx2 Gly-Gaba,1,#CC3D70
262,root/MY GABA/MV Nr4a2 Gly-Gaba,1,#efda4f
263,root/MY GABA/MV Xdh Gly-Gaba,1,#72FF00
264,root/MY GABA/IRN Dmbx1 Pax2 Gly-Gaba,1,#5C997D
265,root/MY GABA/NTS-PARN Neurod2 Gly-Gaba,1,#FF1400
266,root/MY GABA/SPVI-SPVC Sall3 Nfib Gly-Gaba,1,#66140F
267,root/MY GABA/SPVI-SPVC Sall3 Lhx1 Gly-Gaba,1,#FF73EA
268,root/MY GABA/RO-RPA Pkd2l1 Gaba,1,#26FFE8
269,root/CB GABA/DCO Il22 Gly-Gaba,1,#994517
270,root/CB GABA/CB PLI Gly-Gaba,1,#009899
271,root/CB GABA/CBX Golgi Gly-Gaba,1,#003366
272,root/CB GABA/CBX MLI Megf11 Gaba,1,#8BCC5C
273,root/CB GABA/CBX MLI Cdh22 Gaba,1,#45996C
274,root/CB GABA/CBX Purkinje Gaba,1,#511799
275,root/CB Glut/CB Granule Glut,1,#FF4826
276,root/CB Glut/DCO UBC Glut,1,#1FCC87
277,root/Astro-Epen/Bergmann NN,1,#8E2600
278,root/Astro-Epen/Astro-CB NN,1,#CC4E00
279,root/Astro-Epen/Astro-NT NN,1,#AD5CCC
280,root/Astro-Epen/Astro-TE NN,1,#3DCCB1
281,root/Astro-Epen/Astro-OLF NN,1,#FF73CF
282,root/Astro-Epen/Astroependymal NN,1,#0833ce
283,root/Astro-Epen/Tanycyte NN,1,#FF26A1
284,root/Astro-Epen/Ependymal NN,1,#D8FF00
285,root/Astro-Epen/Hypendymal NN,1,#3F2E99
286,root/Astro-Epen/CHOR NN,1,#2D9917
287,root/OPC-Oligo/OPC NN,1,#FF26CB
288,root/OPC-Oligo/Oligo NN,1,#99FFBC
289,root/OEC/OEC NN,1,#FF99CF
290,root/Vascular/ABC NN,1,#CC5CC1
291,root/Vascular/VLMC NN,1,#653D66
292,root/Vascular/Peri NN,1,#82992E
293,root/Vascular/SMC NN,1,#FF9F73
294,root/Vascular/Endo NN,1,#994567
295,root/Immune/Microglia NN,1,#CC1F4E
296,root/Immune/BAM NN,1,#66493D
297,root/Immune/Monocytes NN,1,#A673FF
298,root/Immune/DC NN,1,#CCA27A
299,root/Immune/Lymphoid NN,1,#3D5766
300,root/IT-ET Glut/CLA-EPd-CTX Car3 Glut/CLA-EPd-CTX Car3 Glut_1,1,#99822E
301,root/IT-ET Glut/CLA-EPd-CTX Car3 Glut/CLA-EPd-CTX Car3 Glut_2,1,#170F66
302,root/IT-ET Glut/IT EP-CLA Glut/IT EP-CLA Glut_1,1,#994563
303,root/IT-ET Glut/IT EP-CLA Glut/IT EP-CLA Glut_2,1,#1F4666
304,root/IT-ET Glut/IT EP-CLA Glut/IT EP-CLA Glut_3,1,#694599
305,root/IT-ET Glut/IT EP-CLA Glut/IT EP-CLA Glut_4,1,#5CAACC
306,root/IT-ET Glut/L6 IT CTX Glut/L6 IT CTX Glut_1,1,#952E99
307,root/IT-ET Glut/L6 IT CTX Glut/L6 IT CTX Glut_2,1,#2E5266
308,root/IT-ET Glut/L6 IT CTX Glut/L6 IT CTX Glut_3,1,#661799
309,root/IT-ET Glut/L6 IT CTX Glut/L6 IT CTX Glut_4,1,#991759
310,root/IT-ET Glut/L6 IT CTX Glut/L6 IT CTX Glut_5,1,#651F66
311,root/IT-ET Glut/L5 IT CTX Glut/L5 IT CTX Glut_1,1,#8D9917
312,root/IT-ET Glut/L5 IT CTX Glut/L5 IT CTX Glut_2,1,#456199
313,root/IT-ET Glut/L5 IT CTX Glut/L5 IT CTX Glut_3,1,#66530F
314,root/IT-ET Glut/L5 IT CTX Glut/L5 IT CTX Glut_4,1,#FFFE99
315,root/IT-ET Glut/L5 IT CTX Glut/L5 IT CTX Glut_5,1,#6A992E
316,root/IT-ET Glut/IT AON-TT-DP Glut/IT AON-TT-DP Glut_1,1,#8626FF
317,root/IT-ET Glut/IT AON-TT-DP Glut/IT AON-TT-DP Glut_2,1,#3D6652
318,root/IT-ET Glut/IT AON-TT-DP Glut/IT AON-TT-DP Glut_3,1,#C773FF
319,root/IT-ET Glut/IT AON-TT-DP Glut/IT AON-TT-DP Glut_4,1,#666400
320,root/IT-ET Glut/IT AON-TT-DP Glut/IT AON-TT-DP Glut_5,1,#1F3E66
321,root/IT-ET Glut/L2 IT ENT-po Glut/L2 IT ENT-po Glut_2,1,#992E57
322,root/IT-ET Glut/L2 IT ENT-po Glut/L2 IT ENT-po Glut_3,1,#5CCCBD
323,root/IT-ET Glut/L2 IT ENT-po Glut/L2 IT ENT-po Glut_4,1,#CC5CA0
324,root/IT-ET Glut/MEA Slc17a7 Glut/MEA Slc17a7 Glut_1,1,#A099FF
325,root/IT-ET Glut/MEA Slc17a7 Glut/MEA Slc17a7 Glut_2,1,#5CCCC9
326,root/IT-ET Glut/MEA Slc17a7 Glut/MEA Slc17a7 Glut_3,1,#7E5C99
327,root/IT-ET Glut/COAp Grxcr2 Glut/COAp Grxcr2 Glut_1,1,#82995C
328,root/IT-ET Glut/COAp Grxcr2 Glut/COAp Grxcr2 Glut_2,1,#330F66
329,root/IT-ET Glut/LA-BLA-BMA-PA Glut/LA-BLA-BMA-PA Glut_1,1,#99FFE5
330,root/IT-ET Glut/LA-BLA-BMA-PA Glut/LA-BLA-BMA-PA Glut_2,1,#99174B
331,root/IT-ET Glut/LA-BLA-BMA-PA Glut/LA-BLA-BMA-PA Glut_3,1,#992E6E
332,root/IT-ET Glut/LA-BLA-BMA-PA Glut/LA-BLA-BMA-PA Glut_4,1,#633D66
333,root/IT-ET Glut/LA-BLA-BMA-PA Glut/LA-BLA-BMA-PA Glut_5,1,#660F43
334,root/IT-ET Glut/LA-BLA-BMA-PA Glut/LA-BLA-BMA-PA Glut_6,1,#CC867A
335,root/IT-ET Glut/ENTmv-PA-COAp Glut/ENTmv-PA-COAp Glut_1,1,#99735C
336,root/IT-ET Glut/ENTmv-PA-COAp Glut/ENTmv-PA-COAp Glut_2,1,#CC6A3D
337,root/IT-ET Glut/ENTmv-PA-COAp Glut/ENTmv-PA-COAp Glut_3,1,#95CC7A
338,root/IT-ET Glut/CA1-ProS Glut/CA1-ProS Glut_1,1,#8800CC
339,root/IT-ET Glut/CA1-ProS Glut/CA1-ProS Glut_2,1,#4D9945
340,root/IT-ET Glut/CA1-ProS Glut/CA1-ProS Glut_3,1,#993E00
341,root/IT-ET Glut/CA1-ProS Glut/CA1-ProS Glut_4,1,#2E4999
342,root/IT-ET Glut/CA1-ProS Glut/CA1-ProS Glut_5,1,#FF00CE
343,root/IT-ET Glut/CA1-ProS Glut/CA1-ProS Glut_6,1,#2A0F66
344,root/IT-ET Glut/CA3 Glut/CA3 Glut_1,1,#997645
345,root/IT-ET Glut/CA3 Glut/CA3 Glut_2,1,#00FFC5
346,root/IT-ET Glut/CA3 Glut/CA3 Glut_3,1,#6ACC00
347,root/IT-ET Glut/CA3 Glut/CA3 Glut_4,1,#991776
348,root/IT-ET Glut/CA3 Glut/CA3 Glut_5,1,#712E99
349,root/IT-ET Glut/L2 IT PPP-APr Glut/L2 IT PPP-APr Glut_1,1,#433D66
350,root/IT-ET Glut/L2 IT PPP-APr Glut/L2 IT PPP-APr Glut_2,1,#002BCC
351,root/IT-ET Glut/L2 IT PPP-APr Glut/L2 IT PPP-APr Glut_3,1,#266DFF
352,root/IT-ET Glut/L2 IT PPP-APr Glut/L2 IT PPP-APr Glut_4,1,#3D65CC
353,root/IT-ET Glut/L4 RSP-ACA Glut/L4 RSP-ACA Glut_1,1,#998D2E
354,root/IT-ET Glut/L5 ET CTX Glut/L5 ET CTX Glut_1,1,#5A0099
355,root/IT-ET Glut/L5 ET CTX Glut/L5 ET CTX Glut_2,1,#FF2200
356,root/IT-ET Glut/L5 ET CTX Glut/L5 ET CTX Glut_3,1,#5CCCB1
357,root/IT-ET Glut/L5 ET CTX Glut/L5 ET CTX Glut_4,1,#99522E
358,root/IT-ET Glut/L5 ET CTX Glut/L5 ET CTX Glut_5,1,#B34DFF
359,root/IT-ET Glut/L5 ET CTX Glut/L5 ET CTX Glut_6,1,#66400F
360,root/IT-ET Glut/SUB-ProS Glut/SUB-ProS Glut_1,1,#602E66
361,root/IT-ET Glut/SUB-ProS Glut/SUB-ProS Glut_2,1,#5C60CC
362,root/IT-ET Glut/SUB-ProS Glut/SUB-ProS Glut_3,1,#2F2E66
363,root/IT-ET Glut/L5 PPP Glut/L5 PPP Glut_1,1,#CC1F30
364,root/IT-ET Glut/CA2-FC-IG Glut/CA2-FC-IG Glut_1,1,#662E99
365,root/IT-ET Glut/CA2-FC-IG Glut/CA2-FC-IG Glut_2,1,#661F20
366,root/IT-ET Glut/NLOT Rho Glut/NLOT Rho Glut_1,1,#7D5CCC
367,root/NP-CT-L6b Glut/L6b EPd Glut/L6b EPd Glut_1,1,#82CC5C
368,root/NP-CT-L6b Glut/L6b EPd Glut/L6b EPd Glut_2,1,#994547
369,root/NP-CT-L6b Glut/L6b EPd Glut/L6b EPd Glut_3,1,#81CC3D
370,root/NP-CT-L6b Glut/L6b CTX Glut/L6b CTX Glut_1,1,#5C9979
371,root/NP-CT-L6b Glut/L6b CTX Glut/L6b CTX Glut_2,1,#66533D
372,root/NP-CT-L6b Glut/L6b CTX Glut/L6b CTX Glut_3,1,#5C9986
373,root/NP-CT-L6b Glut/L6b CTX Glut/L6b CTX Glut_4,1,#00FFE1
374,root/NP-CT-L6b Glut/L6 CT CTX Glut/L6 CT CTX Glut_1,1,#CC3D77
375,root/NP-CT-L6b Glut/L6 CT CTX Glut/L6 CT CTX Glut_2,1,#3DCC96
376,root/NP-CT-L6b Glut/L6 CT CTX Glut/L6 CT CTX Glut_3,1,#49660F
